t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_YawBrTAyp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor
73.09000000000049,0.06464110503385001,0.06246455600761967,0.06464110503385001,0.025462644931821824,0.7441198617020828,0.9998615693998709,49.99307846999355,1.0495944660149241,-140.5902100178671,1.0621706786992413,0.3309626364760288,-162.090084565729,0.4086747608586483,-0.0015203458618793866,5.637250767709974,5.637250767709974,11023.871000000001,0.0,7.95612566491683,0.0,-0.08067721645683265,11024.80120290885,0.0,1.0,1.0
73.10000000000049,0.06454199495795372,0.062464272515906624,0.06454199495795372,0.025409045524499893,0.7418294578142836,0.9998637744243464,49.99318872121732,1.0491573707305837,-140.6402516854657,1.0617122879673344,0.330567442138622,-162.12893683981864,0.40841133631035065,-0.0014924527128227713,5.637184167498663,5.637184167498663,11023.871000000001,0.0,7.954282300641951,0.0,-0.07961412421764469,11024.783841366529,0.0,1.0,1.0
73.1100000000005,0.06432231439958885,0.06246394587940153,0.06432231439958885,0.02525033322453396,0.7399567792508679,0.9998660700947276,49.99330350473638,1.0488253965249466,-140.6831342137302,1.0613059054243739,0.32942059261751294,-162.1160936525432,0.40847013369982565,-0.0013717453848181987,5.637118373598141,5.637118373598141,11023.871000000001,0.0,7.9524459782489,0.0,-0.07853651564428317,11024.765838508727,0.0,1.0,1.0
73.1200000000005,0.06400655835294534,0.062463561101338314,0.06400655835294534,0.025006373931510954,0.7387129363032183,0.9998681814840739,49.99340907420369,1.04863605750997,-140.7167149226393,1.060998363117004,0.3276540088870808,-162.05653479417919,0.4088430841357933,-0.0011736150351302627,5.637053344379043,5.637053344379043,11023.871000000001,0.0,7.950573608936088,0.0,-0.07743635016226905,11024.746580100404,0.0,1.0,1.0
73.1300000000005,0.06363205665723869,0.062463108654852065,0.06363205665723869,0.024707694531752648,0.7382378140587907,0.9998698580153969,49.993492900769844,1.048608952180458,-140.73998030559423,1.0608241193442571,0.32548165198182477,-161.96067623505482,0.40948197031910505,-0.0009229837856815672,5.636989019287551,5.636989019287551,11023.871000000001,0.0,7.948713711612966,0.0,-0.0763223087110949,11024.726754143718,0.0,1.0,1.0
73.14000000000051,0.0632438054268019,0.062462585572999635,0.0632438054268019,0.02439074360538364,0.7385823443710564,0.9998709047963955,49.993545239819774,1.0487439278917454,-140.75317820107816,1.0608010870546416,0.32316812978992054,-161.84291865110345,0.4103063700618759,-0.0006504377471307429,5.636925460496992,5.636925460496992,11023.871000000001,0.0,7.9468195764422696,0.0,-0.07517792381025229,11024.706776373552,0.0,1.0,1.0
73.15000000000052,0.0628879059115908,0.06246199578121559,0.0628879059115908,0.024092475156897865,0.7397025263695689,0.9998712048323297,49.993560241616485,1.04902220569982,-140.75775618289848,1.0609290278631496,0.3209889335217733,-161.71968656172513,0.4112164780719276,-0.00038771381032493934,5.636862424654235,5.636862424654235,11023.871000000001,0.0,7.944943414034297,0.0,-0.07403617591937026,11024.684273961871,0.0,1.0,1.0
73.16000000000052,0.0626053134941345,0.062461349632937486,0.0626053134941345,0.023845642280822463,0.7414658757560166,0.9998707295515266,49.99353647757633,1.0494097453763636,-140.7561388469535,1.0611905094079295,0.31919293315386366,-161.6073992319166,0.41210710696487646,-0.00016367938052117004,5.636799960084981,5.636799960084981,11023.871000000001,0.0,7.943034842318797,0.0,-0.07286152004260148,11024.661850165705,0.0,1.0,1.0
73.17000000000053,0.06242614009798306,0.06246066271279363,0.06242614009798306,0.023674828572410177,0.7436687975004596,0.9998695376540141,49.993476882700705,1.0498623080192677,-140.75137391397027,1.061553924743672,0.3179686724725303,-161.52037718099845,0.4128820911825397,-8.218000040541296e-07,5.636737978221036,5.636737978221036,11023.871000000001,0.0,7.941149820442958,0.0,-0.07167741907362335,11024.63875549955,0.0,1.0,1.0
73.18000000000053,0.06236438687544218,0.06245995406406343,0.06236438687544218,0.023593455079417743,0.7460644822283933,0.9998677603076634,49.993388015383175,1.0503320087040793,-140.74663547868866,1.0619784848644211,0.3174143549318054,-161.46907566175753,0.4134688028037764,8.744789296898786e-05,5.636676440732843,5.636676440732843,11023.871000000001,0.0,7.939234230826821,0.0,-0.07047229301497776,11024.614663845257,0.0,1.0,1.0
