t,torque_offset_nm,gen_tq_meas_nm,gen_speed_rpm,rot_speed_rpm
1.75,0.0,13482820.0,0.5837469,0.5837469
1.76,0.0,13480250.0,0.5836997,0.5836997
1.77,0.0,13477660.0,0.5836527,0.5836527
1.78,0.0,13475050.0,0.5836059,0.5836059
1.79,0.0,13472440.0,0.5835593,0.5835593
1.8,0.0,13469800.0,0.5835128,0.5835128
1.81,0.0,13467160.0,0.5834666,0.5834666
1.82,0.0,13464500.0,0.5834206,0.5834206
1.83,0.0,13461830.0,0.5833748,0.5833748
1.84,0.0,13459140.0,0.5833292,0.5833292
1.85,0.0,13456440.0,0.5832838,0.5832838
1.86,0.0,13453730.0,0.5832386,0.5832386
1.87,0.0,13451010.0,0.5831937,0.5831937
1.88,0.0,13448270.0,0.583149,0.583149
1.89,0.0,13445520.0,0.5831044,0.5831044
1.9,0.0,13442760.0,0.5830601,0.5830601
1.91,0.0,13439990.0,0.5830161,0.5830161
1.92,0.0,13437200.0,0.5829723,0.5829723
1.93,0.0,13434410.0,0.5829288,0.5829288
1.94,0.0,13431600.0,0.5828855,0.5828855
1.95,0.0,13428780.0,0.5828425,0.5828425
1.96,0.0,13425950.0,0.5827997,0.5827997
1.97,0.0,13423110.0,0.5827571,0.5827571
1.98,0.0,13420260.0,0.5827149,0.5827149
1.99,0.0,13417390.0,0.5826729,0.5826729
2.0,0.0,13414520.0,0.5826312,0.5826312
2.01,0.0,13411630.0,0.5825897,0.5825897
2.02,0.0,13408740.0,0.5825486,0.5825486
2.03,0.0,13405830.0,0.5825077,0.5825077
2.04,0.0,13402920.0,0.582467,0.582467
2.05,0.0,13399990.0,0.5824267,0.5824267
2.06,0.0,13397060.0,0.5823866,0.5823866
2.07,0.0,13394120.0,0.5823469,0.5823469
2.08,0.0,13391160.0,0.5823073,0.5823073
2.09,0.0,13388200.0,0.5822681,0.5822681
2.1,0.0,13385230.0,0.5822292,0.5822292
2.11,0.0,13382250.0,0.5821905,0.5821905
2.12,0.0,13379260.0,0.5821521,0.5821521
2.13,0.0,13376270.0,0.582114,0.582114
2.14,0.0,13373260.0,0.5820761,0.5820761
2.15,0.0,13370250.0,0.5820386,0.5820386
2.16,0.0,13367230.0,0.5820012,0.5820012
2.17,0.0,13364200.0,0.5819641,0.5819641
2.18,0.0,13361160.0,0.5819274,0.5819274
2.19,0.0,13358120.0,0.5818908,0.5818908
2.2,0.0,13355070.0,0.5818545,0.5818545
2.21,0.0,13352010.0,0.5818184,0.5818184
2.22,0.0,13348940.0,0.5817826,0.5817826
2.23,0.0,13345870.0,0.5817469,0.5817469
2.24,0.0,13342790.0,0.5817116,0.5817116
2.25,0.0,13339710.0,0.5816764,0.5816764
2.26,0.0,13336620.0,0.5816414,0.5816414
2.27,0.0,13333520.0,0.5816067,0.5816067
2.28,0.0,13330420.0,0.5815722,0.5815722
2.29,0.0,13327310.0,0.5815378,0.5815378
2.3,0.0,13324190.0,0.5815036,0.5815036
2.31,0.0,13321070.0,0.5814697,0.5814697
2.32,0.0,13317940.0,0.5814358,0.5814358
2.33,0.0,13314810.0,0.5814022,0.5814022
2.34,0.0,13311680.0,0.5813687,0.5813687
2.35,0.0,13308540.0,0.5813354,0.5813354
2.36,0.0,13305390.0,0.5813022,0.5813022
2.37,0.0,13302240.0,0.5812691,0.5812691
2.38,0.0,13299090.0,0.5812362,0.5812362
2.39,0.0,13295930.0,0.5812034,0.5812034
2.4,0.0,13292760.0,0.5811707,0.5811707
2.41,0.0,13289600.0,0.5811382,0.5811382
2.42,0.0,13286430.0,0.5811057,0.5811057
2.43,0.0,13283250.0,0.5810733,0.5810733
2.44,0.0,13280070.0,0.581041,0.581041
2.45,0.0,13276890.0,0.5810089,0.5810089
2.46,0.0,13273710.0,0.5809767,0.5809767
2.47,0.0,13270520.0,0.5809447,0.5809447
2.48,0.0,13267330.0,0.5809127,0.5809127
2.49,0.0,13264140.0,0.5808808,0.5808808
2.5,0.0,13260940.0,0.5808489,0.5808489
2.51,0.0,13257740.0,0.580817,0.580817
2.52,0.0,13254540.0,0.5807852,0.5807852
2.53,0.0,13251330.0,0.5807534,0.5807534
2.54,0.0,13248130.0,0.5807216,0.5807216
2.55,0.0,13244920.0,0.5806898,0.5806898
2.56,0.0,13241710.0,0.5806581,0.5806581
2.57,0.0,13238500.0,0.5806263,0.5806263
2.58,0.0,13235280.0,0.5805946,0.5805946
2.59,0.0,13232070.0,0.5805628,0.5805628
2.6,0.0,13228850.0,0.580531,0.580531
2.61,0.0,13225640.0,0.5804992,0.5804992
2.62,0.0,13222420.0,0.5804673,0.5804673
2.63,0.0,13219200.0,0.5804355,0.5804355
2.64,0.0,13215980.0,0.5804035,0.5804035
2.65,0.0,13212750.0,0.5803715,0.5803715
2.66,0.0,13209530.0,0.5803395,0.5803395
2.67,0.0,13206310.0,0.5803074,0.5803074
2.68,0.0,13203080.0,0.5802752,0.5802752
2.69,0.0,13199860.0,0.580243,0.580243
2.7,0.0,13196630.0,0.5802106,0.5802106
2.71,0.0,13193410.0,0.5801783,0.5801783
2.72,0.0,13190180.0,0.5801458,0.5801458
2.73,0.0,13186960.0,0.5801132,0.5801132
2.74,0.0,13183740.0,0.5800805,0.5800805
2.75,0.0,13180510.0,0.5800477,0.5800477
2.76,0.0,13177280.0,0.5800148,0.5800148
2.77,0.0,13174060.0,0.5799819,0.5799819
2.78,0.0,13170840.0,0.5799487,0.5799487
2.79,0.0,13167610.0,0.5799155,0.5799155
2.8,0.0,13164390.0,0.5798821,0.5798821
2.81,0.0,13161170.0,0.5798487,0.5798487
2.82,0.0,13157950.0,0.5798151,0.5798151
2.83,0.0,13154730.0,0.5797814,0.5797814
2.84,0.0,13151510.0,0.5797476,0.5797476
2.85,0.0,13148290.0,0.5797136,0.5797136
2.86,0.0,13145070.0,0.5796794,0.5796794
2.87,0.0,13141860.0,0.5796452,0.5796452
2.88,0.0,13138640.0,0.5796108,0.5796108
2.89,0.0,13135430.0,0.5795763,0.5795763
2.9,0.0,13132210.0,0.5795415,0.5795415
2.91,0.0,13129000.0,0.5795067,0.5795067
2.92,0.0,13125790.0,0.5794716,0.5794716
2.93,0.0,13122580.0,0.5794365,0.5794365
2.94,0.0,13119380.0,0.5794011,0.5794011
2.95,0.0,13116170.0,0.5793656,0.5793656
2.96,0.0,13112970.0,0.5793298,0.5793298
2.97,0.0,13109770.0,0.579294,0.579294
