t,P_e_sys_pu,P_ref_sys_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,omega_e_pu,omega_grid_pu,f_grid_hz,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,fmu_RotSpeed,fmu_GenSpeed,fmu_GenTq,fmu_BldPitch1,fmu_Wind1VelX,fmu_YawBrTAxp,fmu_HSShftTq,load_step_scale,torque_mod_factor,elecpwr_mod_factor
34.5400000000017,0.06368267718309109,0.06574072313539876,0.06368267718309109,0.025029710490352325,0.6664842740570601,0.9998576626276084,49.992883131380424,1.0505600657443386,-65.72957751318498,1.062904841320462,0.32565925065557066,-87.18628894048743,0.41098898835430275,-0.0011763681947175655,5.6876413986475765,5.5522470620218725,11496.287,0.0,8.0,0.0,2726.417671877506,1.0,1.0,1.0
34.550000000001695,0.06483946636917275,0.06690437335171763,0.06483946636917275,0.025170295219336385,0.6569890992777655,0.999858276401983,49.99291382009915,1.0501785432321007,-65.72562703555914,1.0626108784865649,0.3311512031618839,-86.94154313000001,0.40929395643490374,-0.0011893115390437803,5.689718433794614,5.112023537920041,11699.516,0.0,8.0,0.0,3152.2972706873,1.0,1.0,1.0
34.56000000000169,0.06593251569769824,0.06739071005388286,0.06593251569769824,0.025227645856105773,0.650862233958986,0.9998603063660143,49.99301531830071,1.0497607074499682,-65.71938925960714,1.0622409125678793,0.3362391367878034,-86.65765393036428,0.4077089952688917,-0.0011259008694232686,5.691637463365641,4.692787291036049,11784.454,0.0,8.0,0.0,3886.6649529561055,1.0,1.0,1.0
34.57000000000169,0.0667795303415263,0.06787586992423718,0.0667795303415263,0.02519449086373025,0.648528983299066,0.9998635457377163,49.99317728688582,1.0493570495365865,-65.71842297023196,1.0618386351457412,0.3400851088051255,-86.38884316667556,0.4064774880108447,-0.0010005550799402144,5.6933182513525455,4.310663971517229,11869.35,0.0,8.0,0.0,4901.997192590138,1.0,1.0,1.0
34.58000000000169,0.0674062181410463,0.06836024818310048,0.0674062181410463,0.02506919997528907,0.6503140100675121,0.9998676783799355,49.99338391899678,1.0490165745110955,-65.7176513818246,1.0614518250765301,0.3427832236289971,-86.11843705460281,0.40562012643464035,-0.0008082548371299986,5.694692243166485,3.9883288126215577,11954.278,0.0,8.0,0.0,6154.418598485293,1.0,1.0,1.0
34.59000000000169,0.06784829375144817,0.06884348862283061,0.06784829375144817,0.02486010344385317,0.6563023086925733,0.999872381081451,49.99361905407255,1.0487813195859705,-65.7129882774804,1.0611263390577101,0.34449204427322283,-85.83618616990466,0.4051316663824436,-0.0005523201436580319,5.6956995070975,3.729905330851913,12039.174,0.0,8.0,0.0,7596.525296834073,1.0,1.0,1.0
34.600000000001685,0.06815065475722157,0.06932582332814437,0.06815065475722157,0.024586439819930823,0.6663282139757296,0.999877348203641,49.993867410182055,1.0486806089755911,-65.70158842652522,1.0609008939915654,0.3454341342072577,-85.53930901079882,0.4049754475244312,-0.0002456938113234372,5.696295636935357,3.5488249952150746,12124.07,0.0,8.0,0.0,9171.142449002313,1.0,1.0,1.0
34.61000000000168,0.06836472932847924,0.06870553702525804,0.06836472932847924,0.024276161638640804,0.679978285745892,0.9998823185982456,49.99411592991228,1.0487271709162385,-65.68198116318912,1.0608021393524165,0.34588122210460576,-85.23181722705672,0.40508443710376246,9.065012492891211e-05,5.696453489310016,3.449916934782096,12016.266,0.0,8.0,0.0,10817.713300656405,1.0,1.0,1.0
34.62000000000168,0.06828759423365645,0.06808476831689175,0.06828759423365645,0.023975282877827072,0.6967685274325299,0.9998869875240746,49.99434937620373,1.0489140719002406,-65.67071777804486,1.0608422272081464,0.34499535066004156,-85.01652494097517,0.40561945822482814,0.00038489345606051127,5.69616082078532,3.4354473590218793,11908.474,0.0,8.0,0.0,12474.073984333121,1.0,1.0,1.0
34.63000000000168,0.06802468977753219,0.06746339125845079,0.06802468977753219,0.023717468499305495,0.716123586734507,0.9998910585724429,49.99455292862214,1.049217848972706,-65.6648813619808,1.0610156271862035,0.343307155636936,-84.88648649122787,0.40641818270626306,0.0006164426368478531,5.695428213098892,3.517173210955314,11800.641,0.0,8.0,0.0,14069.743797121495,1.0,1.0,1.0
