t,wind_speed_mps,omega_m_pu,omega_e_pu,pitch_deg,P_aero_sys_pu,P_e_sys_pu,P_ref_sys_pu,ss_accel_mps2,q_ss,q_ss_dot,V_WTG1_LV_pu,angle_WTG1_LV_deg,V_uic_internal_pu,P_uic_bus_sys_pu,Q_uic_bus_sys_pu,I_uic_pu,I_uic_angle_deg,P_sync_generators_total_sys_pu,Q_sync_generators_total_sys_pu,load_step_scale
83.05000000000558,11.0,1.0000000000000944,1.0000000000004707,4.401020862242275,0.14620492848648348,0.13999999132146265,0.13999999102335603,0.20891647602130778,0.020161320266702032,0.09499640029377704,1.0500000007838701,7.68056274442221,1.0629986275408339,0.13999999132146265,0.022902694800295543,0.6755283641175845,-1.610197023521424,0.33636365185194816,0.015557036297629626,0.0
83.06000000000559,11.0,1.0000000000000948,1.0000000000004747,4.4010208622424125,0.14620492848648187,0.139999991321463,0.13999999102335664,0.20684195865251018,0.021121695705098538,0.09707522992591897,1.0500000007838701,7.6805627372990894,1.062998627540834,0.139999991321463,0.02290269480029577,0.6755283641175862,-1.6101970306446092,0.336363651851947,0.015557036297630753,0.0
83.07000000000559,11.0,1.0000000000000953,1.0000000000004787,4.401020862242549,0.14620492848648028,0.13999999132146337,0.13999999102335722,0.20472271578038392,0.022102754966629355,0.09913309037938027,1.0500000007838701,7.680562730175971,1.0629986275408343,0.13999999132146337,0.022902694800295994,0.6755283641175881,-1.6101970377677943,0.336363651851946,0.015557036297629553,0.0
83.0800000000056,11.0,1.0000000000000957,1.0000000000004827,4.401020862242687,0.14620492848647867,0.13999999132146393,0.1399999910233578,0.20255920520672704,0.02310428613082252,0.10116953668011816,1.0500000007838701,7.680562723052853,1.0629986275408343,0.13999999132146393,0.022902694800296244,0.675528364117591,-1.6101970448909768,0.33636365185194705,0.015557036297631395,0.0
83.0900000000056,11.0,1.0000000000000961,1.0000000000004867,4.4010208622428255,0.14620492848647706,0.13999999132146437,0.13999999102335836,0.20035189430589354,0.0241260728505157,0.10318412848005386,1.0500000007838703,7.6805627159297405,1.0629986275408343,0.13999999132146437,0.02290269480029556,0.6755283641175924,-1.610197052013786,0.3363636518519467,0.015557036297629417,0.0
83.10000000000561,11.0,1.0000000000000966,1.000000000000491,4.401020862242964,0.14620492848647548,0.13999999132146473,0.13999999102335892,0.19810125992382357,0.025167894398592773,0.10517643015229505,1.0500000007838706,7.680562708806634,1.0629986275408345,0.13999999132146473,0.022902694800295817,0.6755283641175942,-1.6101970591369714,0.3363636518519456,0.01555703629763023,0.0
83.11000000000561,11.0,1.000000000000097,1.000000000000495,4.401020862243103,0.14620492848647387,0.13999999132146543,0.13999999102335953,0.1958077882750271,0.02622952571566757,0.1071460108853384,1.0500000007838706,7.680562701683519,1.0629986275408345,0.13999999132146543,0.022902694800295626,0.6755283641175973,-1.6101970662599652,0.33636365185194633,0.015557036297628961,0.0
83.12000000000562,11.0,1.0000000000000975,1.0000000000004992,4.40102086224324,0.14620492848647226,0.13999999132146554,0.13999999102336008,0.1934719748375342,0.027310737458704448,0.10909244477623162,1.0500000007838703,7.680562694560422,1.0629986275408347,0.13999999132146554,0.02290269480029634,0.6755283641175985,-1.61019707338334,0.3363636518519447,0.015557036297632205,0.0
83.13000000000562,11.0,1.000000000000098,1.0000000000005034,4.401020862243379,0.14620492848647068,0.13999999132146612,0.13999999102336055,0.1910943242458548,0.028411296050565204,0.11101531092267516,1.0500000007838706,7.6805626874373205,1.0629986275408347,0.13999999132146612,0.0229026948002957,0.6755283641176005,-1.6101970805061478,0.3363636518519447,0.01555703629763025,0.0
83.14000000000563,11.0,1.0000000000000984,1.0000000000005074,4.401020862243517,0.14620492848646907,0.13999999132146645,0.1399999910233611,0.18867535018194406,0.029530963730471614,0.11291419351404348,1.0500000007838706,7.680562680314222,1.0629986275408347,0.13999999132146645,0.022902694800295973,0.6755283641176024,-1.610197087629333,0.3363636518519443,0.015557036297632328,0.0
83.15000000000563,11.0,1.0000000000000988,1.0000000000005116,4.401020862243656,0.1462049284864674,0.13999999132146693,0.13999999102336166,0.1862155752642222,0.030669498605372707,0.11478868192130619,1.0500000007838708,7.680562673191126,1.062998627540835,0.13999999132146693,0.0229026948002958,0.6755283641176043,-1.6101970947523294,0.3363636518519443,0.015557036297632752,0.0
83.16000000000564,11.0,1.0000000000000993,1.0000000000004932,4.4010208622437945,0.14620492848646585,0.13999999132146757,0.1399999910233621,0.18371553093465498,0.031826654702205665,0.11663837078582973,1.050000000783871,7.6805626660680275,1.062998627540835,0.13999999132146757,0.022902694800295643,0.6755283641176072,-1.6101971018753238,0.33636365185194506,0.015557036297631187,0.0
83.17000000000564,11.0,1.0000000000000997,1.0000000000004976,4.401020862243932,0.14620492848646424,0.13999999132146773,0.13999999102336264,0.18117575734392938,0.03300218202103905,0.11846286010704028,1.050000000783871,7.680562658944943,1.062998627540835,0.13999999132146773,0.022902694800295453,0.6755283641176075,-1.6101971089983238,0.33636365185194284,0.01555703629762947,0.0
83.18000000000565,11.0,1.0000000000001001,1.0000000000005023,4.401020862244072,0.1462049284864626,0.139999991321468,0.13999999102336314,0.17859680323474553,0.03419582658908693,0.120261755328929,1.0500000007838708,7.68056265182186,1.062998627540835,0.139999991321468,0.022902694800295754,0.6755283641176093,-1.6101971161215092,0.33636365185194267,0.015557036297633563,0.0
83.19000000000565,11.0,1.0000000000001006,1.0000000000005067,4.401020862244211,0.146204928486461,0.13999999132146837,0.13999999102336363,0.175979225823248,0.035407330515582126,0.12203466742538081,1.0500000007838706,7.6805626446987745,1.0629986275408347,0.13999999132146837,0.022902694800296067,0.6755283641176115,-1.6101971232446932,0.33636365185194345,0.015557036297632859,0.0
83.20000000000566,11.0,1.000000000000101,1.0000000000005114,4.40102086224435,0.14620492848645938,0.13999999132146873,0.13999999102336416,0.17332359067862763,0.03663643204749685,0.12378121298430844,1.0500000007838708,7.680562637575698,1.0629986275408347,0.13999999132146873,0.02290269480029545,0.6755283641176124,-1.6101971303675038,0.33636365185194245,0.015557036297631523,0.0
83.21000000000566,11.0,1.0000000000001015,1.0000000000004934,4.401020862244489,0.14620492848645777,0.13999999132146923,0.1399999910233646,0.17063047160091444,0.0378828656260986,0.12550101429057328,1.0500000007838708,7.680562630452618,1.0629986275408345,0.13999999132146923,0.022902694800295324,0.6755283641176147,-1.6101971374904995,0.33636365185194217,0.015557036297631298,0.0
83.22000000000567,11.0,1.000000000000102,1.0000000000004983,4.4010208622446285,0.14620492848645616,0.13999999132146965,0.13999999102336505,0.16790045049699065,0.039146361944329106,0.12719369940767533,1.050000000783871,7.6805626233295445,1.0629986275408345,0.13999999132146965,0.022902694800294734,0.6755283641176162,-1.6101971446133088,0.33636365185194295,0.015557036297630718,0.0
83.23000000000567,11.0,1.0000000000001024,1.0000000000005032,4.401020862244767,0.14620492848645456,0.13999999132146995,0.13999999102336552,0.16513411725485294,0.04042664800499401,0.1288589022581945,1.050000000783871,7.680562616206476,1.0629986275408347,0.13999999132146995,0.022902694800295074,0.675528364117618,-1.610197151736494,0.3363636518519427,0.015557036297630559,0.0
83.24000000000568,11.0,1.0000000000001028,1.000000000000508,4.4010208622449065,0.14620492848645295,0.1399999913214699,0.139999991023366,0.16233206961614385,0.041723447179750565,0.13049626270296583,1.0500000007838706,7.680562609083416,1.062998627540835,0.1399999913214699,0.022902694800295862,0.6755283641176184,-1.6101971588598707,0.3363636518519407,0.015557036297633685,0.0
83.25000000000568,11.0,1.0000000000001033,1.0000000000005131,4.401020862245046,0.1462049284864513,0.13999999132147053,0.13999999102336644,0.1594949130469921,0.043036479268880753,0.13210542661897154,1.0500000007838708,7.680562601960346,1.062998627540835,0.13999999132147053,0.022902694800295307,0.6755283641176208,-1.6101971659826775,0.33636365185194106,0.015557036297633105,0.0
83.26000000000569,11.0,1.000000000000104,1.000000000000473,4.4010208622451845,0.1462049284864497,0.13999999132147084,0.13999999102336688,0.15662326060716855,0.044365460561836795,0.13368604597593306,1.0500000007838708,7.6805625948372835,1.062998627540835,0.13999999132147084,0.022902694800295192,0.6755283641176222,-1.6101971731056757,0.3363636518519409,0.015557036297631804,0.0
83.2700000000057,11.0,1.0000000000001044,1.0000000000004787,4.401020862245324,0.1462049284864481,0.13999999132147123,0.13999999102336727,0.15371773281761736,0.04571010389854601,0.13523777891158648,1.0500000007838706,7.680562587714221,1.0629986275408345,0.13999999132147123,0.022902694800295095,0.6755283641176241,-1.610197180228672,0.33636365185194,0.015557036297634084,0.0
83.2800000000057,11.0,1.0000000000001048,1.0000000000004843,4.4010208622454625,0.14620492848644648,0.13999999132147156,0.13999999102336771,0.15077895752635845,0.04707011873146182,0.13676028980562513,1.0500000007838708,7.680562580591161,1.0629986275408347,0.13999999132147156,0.022902694800295456,0.6755283641176258,-1.6101971873518572,0.33636365185194084,0.015557036297633567,0.0
83.2900000000057,11.0,1.000000000000105,1.00000000000049,4.401020862245601,0.14620492848644487,0.13999999132147176,0.13999999102336816,0.1478075697728128,0.04844521118834741,0.13825324935229322,1.0500000007838708,7.680562573468109,1.0629986275408345,0.13999999132147176,0.022902694800294884,0.6755283641176264,-1.6101971944746687,0.3363636518519399,0.015557036297631981,0.0
83.30000000000571,11.0,1.0000000000001052,1.0000000000004958,4.401020862245739,0.14620492848644326,0.13999999132147226,0.13999999102336858,0.14480421165057233,0.049835084135778515,0.13971633463161504,1.0500000007838706,7.6805625663450545,1.0629986275408343,0.13999999132147226,0.022902694800294818,0.6755283641176287,-1.6101972015976642,0.33636365185194006,0.01555703629763425,0.0
83.31000000000572,11.0,1.0000000000001055,1.0000000000005014,4.401020862245877,0.14620492848644168,0.13999999132147237,0.13999999102336896,0.1417695321686363,0.05123943724335163,0.1411492291792441,1.0500000007838706,7.680562559222009,1.0629986275408343,0.13999999132147237,0.02290269480029473,0.6755283641176293,-1.610197208720664,0.3363636518519392,0.015557036297633078,0.0
83.32000000000572,11.0,1.0000000000001057,1.0000000000005071,4.401020862246016,0.14620492848644004,0.13999999132147256,0.13999999102336938,0.1387041871111634,0.05265796704858375,0.1425516230549172,1.0500000007838703,7.680562552098968,1.0629986275408343,0.13999999132147256,0.022902694800295123,0.6755283641176305,-1.6101972158438504,0.33636365185193823,0.01555703629763114,0.0
83.33000000000573,11.0,1.000000000000106,1.0000000000005127,4.401020862246154,0.14620492848643843,0.13999999132147298,0.13999999102336974,0.13560883889574982,0.05409036702248959,0.14392321290949855,1.0500000007838701,7.6805625449759205,1.0629986275408343,0.13999999132147298,0.022902694800295532,0.675528364117633,-1.6101972229670343,0.3363636518519384,0.015557036297633477,0.0
83.34000000000573,11.0,1.0000000000001064,1.0000000000004732,4.401020862246292,0.14620492848643682,0.13999999132147323,0.13999999102337013,0.1324841564302724,0.05553632763582216,0.1452637020505997,1.0500000007838703,7.680562537852881,1.0629986275408343,0.13999999132147323,0.022902694800295,0.6755283641176335,-1.6101972300898455,0.3363636518519373,0.01555703629763436,0.0
83.35000000000574,11.0,1.0000000000001066,1.0000000000004796,4.401020862246431,0.1462049284864352,0.1399999913214737,0.1399999910233705,0.12933081496833404,0.05699553642596236,0.1465728005067606,1.0500000007838703,7.680562530729836,1.0629986275408343,0.1399999913214737,0.022902694800294957,0.6755283641176357,-1.6101972372128412,0.3363636518519382,0.015557036297633511,0.0
83.36000000000574,11.0,1.0000000000001068,1.0000000000004858,4.401020862246569,0.1462049284864336,0.1399999913214739,0.13999999102337085,0.12614949596332928,0.05846767806444309,0.14785022509017834,1.0500000007838703,7.680562523606799,1.0629986275408343,0.1399999913214739,0.02290269480029489,0.6755283641176365,-1.6101972443358403,0.33636365185193795,0.01555703629763477,0.0
83.37000000000575,11.0,1.000000000000107,1.000000000000492,4.401020862246708,0.14620492848643202,0.1399999913214742,0.1399999910233712,0.12294088692117386,0.059952434425093404,0.14909569945796983,1.0500000007838703,7.680562516483764,1.062998627540834,0.1399999913214742,0.022902694800294842,0.6755283641176382,-1.6101972514588379,0.3363636518519378,0.015557036297633633,0.0
83.38000000000575,11.0,1.0000000000001072,1.0000000000004983,4.401020862246845,0.14620492848643038,0.13999999132147434,0.13999999102337163,0.11970568125172085,0.06144948465278783,0.1503089541719552,1.05000000078387,7.680562509360734,1.0629986275408339,0.13999999132147434,0.022902694800295262,0.6755283641176394,-1.6101972585820243,0.3363636518519365,0.015557036297638549,0.0
83.39000000000576,11.0,1.0000000000001075,1.0000000000005045,4.401020862246982,0.1462049284864288,0.13999999132147464,0.1399999910233719,0.11644457811890391,0.06295850523278612,0.1514897267569489,1.0500000007838701,7.680562502237705,1.062998627540834,0.13999999132147464,0.022902694800294766,0.6755283641176402,-1.610197265704835,0.3363636518519379,0.01555703629763425,0.0
83.40000000000576,11.0,1.0000000000001077,1.0000000000005107,4.40102086224712,0.1462049284864272,0.13999999132147486,0.13999999102337227,0.11315828228962937,0.06447917006064838,0.15263776175754604,1.0500000007838703,7.680562495114681,1.0629986275408339,0.13999999132147486,0.022902694800294263,0.6755283641176408,-1.6101972728276461,0.33636365185193706,0.015557036297632448,0.0
83.41000000000577,11.0,1.0000000000001081,1.0000000000004943,4.4010208622472575,0.14620492848642558,0.13999999132147495,0.1399999910233726,0.10984750398146265,0.0660111505127105,0.15375281079339148,1.0500000007838701,7.6805624879916605,1.0629986275408339,0.13999999132147495,0.022902694800294693,0.6755283641176414,-1.6101972799508342,0.33636365185193584,0.015557036297635052,0.0
83.42000000000577,11.0,1.0000000000001084,1.0000000000005007,4.401020862247395,0.14620492848642397,0.13999999132147525,0.13999999102337296,0.10651295870913216,0.06755411551710463,0.15483463261291996,1.0500000007838703,7.6805624808686375,1.0629986275408339,0.13999999132147525,0.022902694800294214,0.6755283641176425,-1.6101972870736443,0.3363636518519364,0.015557036297632023,0.0
83.43000000000578,11.0,1.0000000000001086,1.0000000000005071,4.401020862247533,0.1462049284864224,0.13999999132147548,0.13999999102337324,0.10315536712988593,0.06910773162530935,0.15588299314555543,1.05000000078387,7.680562473745619,1.0629986275408336,0.13999999132147548,0.022902694800294672,0.6755283641176443,-1.6101972941968297,0.33636365185193634,0.01555703629763374,0.0
83.44000000000578,11.0,1.0000000000001088,1.0000000000005136,4.40102086224767,0.14620492848642078,0.13999999132147561,0.13999999102337354,0.09977545488773748,0.07067166308421412,0.15689766555235837,1.0500000007838697,7.680562466622609,1.0629986275408336,0.13999999132147561,0.022902694800295133,0.6755283641176453,-1.6101973013200168,0.3363636518519352,0.01555703629763559,0.0
83.45000000000579,11.0,1.0000000000001092,1.0000000000004747,4.401020862247806,0.1462049284864192,0.13999999132147598,0.13999999102337385,0.09637395245663305,0.07224557190868233,0.15787843027511023,1.0500000007838701,7.68056245949959,1.0629986275408336,0.13999999132147598,0.0229026948002942,0.6755283641176462,-1.6101973084426389,0.3363636518519354,0.01555703629763336,0.0
83.46000000000579,11.0,1.0000000000001095,1.0000000000004818,4.401020862247943,0.1462049284864176,0.13999999132147609,0.13999999102337415,0.0929515949825706,0.07382911795459746,0.15882507508382415,1.0500000007838697,7.68056245237658,1.0629986275408334,0.13999999132147609,0.02290269480029466,0.6755283641176473,-1.6101973155658258,0.33636365185193545,0.015557036297635185,0.0
83.4700000000058,11.0,1.0000000000001097,1.000000000000489,4.40102086224808,0.146204928486416,0.1399999913214765,0.13999999102337446,0.08950912212471249,0.07542195899237625,0.1597373951226719,1.05000000078387,7.680562445253566,1.0629986275408334,0.1399999913214765,0.022902694800294214,0.6755283641176486,-1.610197322688635,0.33636365185193556,0.015557036297635767,0.0
83.4800000000058,11.0,1.00000000000011,1.000000000000496,4.401020862248217,0.1462049284864144,0.13999999132147672,0.13999999102337474,0.08604727789551497,0.07702375078093339,0.16061519295431695,1.0500000007838695,7.6805624381305595,1.0629986275408334,0.13999999132147672,0.022902694800294703,0.6755283641176503,-1.6101973298118208,0.33636365185193573,0.015557036297637591,0.0
83.49000000000581,11.0,1.0000000000001101,1.000000000000503,4.401020862248353,0.14620492848641287,0.13999999132147672,0.13999999102337507,0.08256681049992312,0.07863414714208133,0.1614582786026442,1.0500000007838697,7.680562431007558,1.0629986275408332,0.13999999132147672,0.022902694800294235,0.6755283641176499,-1.6101973369346343,0.33636365185193384,0.015557036297634375,0.0
83.50000000000581,11.0,1.0000000000001104,1.0000000000005098,4.4010208622484885,0.14620492848641126,0.13999999132147686,0.13999999102337535,0.07906847217365304,0.08025280003534951,0.16226646959387692,1.0500000007838697,7.680562423884558,1.0629986275408334,0.13999999132147686,0.022902694800294717,0.6755283641176508,-1.6101973440578214,0.3363636518519339,0.015557036297633076,0.0
83.51000000000582,11.0,1.0000000000001106,1.000000000000494,4.401020862248624,0.14620492848640967,0.13999999132147709,0.1399999910233756,0.07555301902060252,0.08187935963320651,0.16303959099607232,1.0500000007838695,7.680562416761556,1.0629986275408334,0.13999999132147709,0.022902694800294752,0.675528364117652,-1.6101973511808194,0.3363636518519341,0.015557036297633749,0.0
83.52000000000582,11.0,1.0000000000001108,1.0000000000005012,4.40102086224876,0.1462049284864081,0.13999999132147722,0.13999999102337587,0.07202121084942534,0.08351347439666912,0.1637774754569869,1.0500000007838695,7.680562409638559,1.0629986275408334,0.13999999132147722,0.02290269480029478,0.6755283641176527,-1.6101973583038192,0.3363636518519331,0.015557036297635678,0.0
83.53000000000583,11.0,1.000000000000111,1.0000000000005083,4.401020862248895,0.1462049284864065,0.1399999913214775,0.13999999102337615,0.06847381100930394,0.08515479115128181,0.16447996324030353,1.0500000007838697,7.680562402515557,1.0629986275408334,0.1399999913214775,0.022902694800294346,0.6755283641176537,-1.6101973654266295,0.33636365185193373,0.015557036297634408,0.0
83.54000000000583,11.0,1.0000000000001112,1.0000000000004927,4.401020862249031,0.14620492848640493,0.1399999913214777,0.1399999910233764,0.06491158622495388,0.08680295516345031,0.16514690226021236,1.0500000007838701,7.680562395392563,1.0629986275408334,0.1399999913214777,0.022902694800293926,0.675528364117654,-1.6101973725494414,0.3363636518519345,0.015557036297632353,0.0
83.55000000000584,11.0,1.0000000000001115,1.0000000000005003,4.401020862249166,0.14620492848640335,0.13999999132147767,0.13999999102337665,0.06133530643089946,0.08845761021711265,0.16577814811433814,1.0500000007838692,7.6805623882695775,1.0629986275408332,0.13999999132147767,0.022902694800294894,0.675528364117655,-1.6101973796728168,0.336363651851933,0.015557036297637933,0.0
83.56000000000584,11.0,1.0000000000001117,1.0000000000005076,4.401020862249301,0.14620492848640176,0.13999999132147795,0.13999999102337685,0.05774574460505405,0.09011839869073127,0.16637356411500673,1.0500000007838697,7.680562381146589,1.0629986275408332,0.13999999132147795,0.02290269480029402,0.6755283641176553,-1.6101973867954404,0.33636365185193307,0.015557036297633938,0.0
83.57000000000585,11.0,1.000000000000112,1.0000000000005147,4.401020862249435,0.14620492848640024,0.13999999132147814,0.13999999102337707,0.05414367660163852,0.09178496163458938,0.16693302131884422,1.0500000007838697,7.680562374023598,1.0629986275408332,0.13999999132147814,0.022902694800294075,0.6755283641176565,-1.6101973939184389,0.33636365185193445,0.015557036297631896,0.0
83.58000000000585,11.0,1.0000000000001124,1.000000000000477,4.40102086224957,0.14620492848639866,0.1399999913214783,0.13999999102337735,0.05052988098348099,0.09345693884837504,0.1674563985547019,1.0500000007838695,7.680562366900614,1.0629986275408332,0.1399999913214783,0.02290269480029461,0.6755283641176577,-1.6101974010416251,0.3363636518519346,0.015557036297638636,0.0
83.59000000000586,11.0,1.0000000000001124,1.000000000000485,4.4010208622497045,0.14620492848639707,0.1399999913214785,0.13999999102337757,0.04690513885372799,0.09513396895903597,0.16794358244990143,1.05000000078387,7.680562359777633,1.0629986275408334,0.1399999913214785,0.02290269480029374,0.6755283641176576,-1.6101974081642496,0.3363636518519333,0.015557036297635544,0.0
83.60000000000586,11.0,1.0000000000001124,1.0000000000004927,4.401020862249838,0.14620492848639552,0.13999999132147845,0.13999999102337776,0.04327023368700417,0.09681568949888852,0.16839446745479422,1.0500000007838697,7.680562352654653,1.0629986275408334,0.13999999132147845,0.022902694800294263,0.675528364117658,-1.6101974152874383,0.33636365185193406,0.015557036297636377,0.0
83.61000000000587,11.0,1.0000000000001124,1.0000000000005005,4.401020862249972,0.14620492848639396,0.13999999132147856,0.13999999102337798,0.03962595116006118,0.09850173698396368,0.1688089558656299,1.0500000007838697,7.680562345531675,1.0629986275408334,0.13999999132147856,0.022902694800294335,0.6755283641176586,-1.6101974224104378,0.33636365185193323,0.015557036297636474,0.0
83.62000000000587,11.0,1.0000000000001124,1.0000000000005083,4.401020862250105,0.14620492848639238,0.13999999132147903,0.13999999102337818,0.03597307898194671,0.10019174699257334,0.16918695784572882,1.0500000007838701,7.680562338408693,1.0629986275408334,0.13999999132147903,0.02290269480029351,0.67552836411766,-1.6101974295330588,0.33636365185193423,0.015557036297636835,0.0
83.63000000000588,11.0,1.0000000000001126,1.0000000000004932,4.401020862250238,0.14620492848639086,0.13999999132147894,0.13999999102337837,0.032312406723731674,0.10188535424407982,0.16952839144495396,1.05000000078387,7.680562331285722,1.0629986275408334,0.13999999132147894,0.02290269480029404,0.6755283641176602,-1.610197436656248,0.33636365185193284,0.0155570362976378,0.0
83.64000000000588,11.0,1.0000000000001126,1.0000000000005012,4.401020862250371,0.1462049284863893,0.13999999132147922,0.13999999102337857,0.028644725647841762,0.10358219267785153,0.1698331826174782,1.0500000007838701,7.680562324162746,1.0629986275408334,0.13999999132147922,0.022902694800293673,0.675528364117661,-1.6101974437790587,0.3363636518519332,0.015557036297634623,0.0
83.65000000000589,11.0,1.0000000000001126,1.000000000000509,4.401020862250504,0.14620492848638778,0.13999999132147928,0.1399999910233788,0.024970828537010686,0.10528189553238773,0.17010126523784286,1.0500000007838701,7.680562317039772,1.0629986275408336,0.13999999132147928,0.02290269480029375,0.6755283641176614,-1.610197450902059,0.3363636518519331,0.015557036297634753,0.0
83.6600000000059,11.0,1.0000000000001128,1.000000000000494,4.401020862250635,0.14620492848638622,0.13999999132147953,0.13999999102337898,0.02129150952291406,0.10698409542459549,0.17033258111530425,1.0500000007838701,7.680562309916799,1.0629986275408336,0.13999999132147953,0.022902694800293846,0.6755283641176625,-1.6101974580250573,0.3363636518519342,0.015557036297635177,0.0
83.6700000000059,11.0,1.0000000000001128,1.000000000000502,4.401020862250768,0.14620492848638467,0.1399999913214794,0.13999999102337918,0.017607563914501967,0.1086884244292013,0.17052708000646497,1.0500000007838697,7.6805623027938354,1.0629986275408334,0.1399999913214794,0.02290269480029439,0.6755283641176626,-1.6101974651482465,0.33636365185193245,0.015557036297638941,0.0
83.6800000000059,11.0,1.0000000000001128,1.00000000000051,4.401020862250899,0.14620492848638308,0.13999999132147947,0.13999999102337934,0.013919788026084484,0.11039451415828067,0.17068471962618728,1.0500000007838697,7.680562295670869,1.0629986275408336,0.13999999132147947,0.022902694800294485,0.6755283641176629,-1.6101974722712469,0.33636365185193184,0.015557036297637088,0.0
83.69000000000591,11.0,1.000000000000113,1.0000000000004954,4.4010208622510305,0.14620492848638159,0.13999999132147964,0.1399999910233795,0.010228979005190764,0.112101995840888,0.17080546565678617,1.0500000007838697,7.680562288547904,1.0629986275408334,0.13999999132147964,0.02290269480029413,0.6755283641176635,-1.6101974793940583,0.3363636518519317,0.015557036297635624,0.0
83.70000000000591,11.0,1.000000000000113,1.0000000000005036,4.401020862251162,0.14620492848638006,0.13999999132147997,0.1399999910233797,0.006535934660251319,0.11381050040276995,0.17088929175550008,1.0500000007838697,7.680562281424932,1.0629986275408334,0.13999999132147997,0.02290269480029425,0.6755283641176651,-1.6101974865170552,0.33636365185193273,0.01555703629763686,0.0
